prev_log,curr_log,next_log,label
Armed by RC,Start file log (type: full),[logger] /fs/microsd/log/2025-08-09/17_14_56.ulg,0
Armed by RC,Start file log (type: full),[logger] /fs/microsd/log/2025-08-09/17_13_40.ulg,0
"closed logfile, bytes written: 1478741",Armed by RC,Start file log (type: full),0
Preflight Fail: Kill switch engaged,Preflight Fail: Flight termination active,Preflight Fail: Kill switch engaged,0
Preflight Fail: Flight termination active,Preflight Fail: Kill switch engaged,Preflight Fail: Flight termination active,0
Preflight Fail: Flight termination active,Preflight Fail: Kill switch engaged,Preflight Fail: Flight termination active,0
ACC 0 (4259850) offset committed: [0.164 -0.057 0.155]->[0.073 0.026 0.141]),Preflight Fail: Kill switch engaged,Preflight Fail: Flight termination active,0
"closed logfile, bytes written: 2028653",Preflight Fail: Kill switch engaged,Preflight Fail: Flight termination active,0
Preflight Fail: Flight termination active,Disarmed by kill-switch,ACC 0 (4259850) offset committed: [0.164 -0.057 0.155]->[0.073 0.026 0.141]),0
Preflight Fail: Kill switch engaged,Preflight Fail: Flight termination active,Preflight Fail: velocity estimate error,0
[logger] /fs/microsd/log/2025-08-06/16_09_41.ulg,Takeoff detected,Opened full log file: /fs/microsd/log/2025-08-06/16_09_41.ulg,0
Opened full log file: /fs/microsd/log/2025-08-06/16_09_41.ulg,Kill-switch engaged,Preflight Fail: Flight termination active,0
Start file log (type: full),[logger] /fs/microsd/log/2025-08-06/16_12_00.ulg,Takeoff detected,0
ist8310: no instance started (no device on bus?),"mode: Normal, data rate: 1200 B/s on /dev/ttyS5 @ 57600B","mode: Normal, data rate: 5760 B/s on /dev/ttyS3 @ 115200B",0
Armed by RC (switch),Start file log (type: full),[logger] /fs/microsd/log/2025-08-06/16_04_40.ulg,0
Preflight Fail: Flight termination active,Disarmed by kill-switch,Preflight Fail: Yaw estimate error,0
selected parameter default file /fs/mtd_params,importing from '/fs/mtd_params',"BSON document size 3098 bytes, decoded 3098 bytes (INT32:60, FLOAT:90)",0
Opened full log file: /fs/microsd/log/2025-08-06/15_57_41.ulg,Takeoff detected,Kill-switch engaged,0
Parameter RBCLW_FUNC1 not found.,Parameter RBCLW_FUNC2 not found.,Parameter RBCLW_REV not found.,1
logger started (mode=all),RC scan: CRSF RC input locked,Starting mavlink on /dev/ttyACM0 (SYS_USB_AUTO=2),0
Starting mavlink on /dev/ttyACM0 (SYS_USB_AUTO=2),"mode: Onboard, data rate: 100000 B/s on /dev/ttyACM0 @ 2000000B",Preflight Fail: heading estimate not stable,0
Takeoff detected,[logger] /fs/microsd/log/2025-08-09/12_21_56.ulg,Opened full log file: /fs/microsd/log/2025-08-09/12_21_56.ulg,0
[logger] /fs/microsd/log/2025-08-09/12_24_00.ulg,Takeoff detected,"closed logfile, bytes written: 255711",0
Opened full log file: /fs/microsd/log/2025-08-09/12_24_00.ulg,selected parameter default file /fs/microsd/params,importing from '/fs/microsd/params',0
"Node ID 1, bitrate 1000000",#切换 位置 模式失败！,Failsafe mode activated,0
Failsafe mode deactivated,#切断动力开关、、,#动力可用、、、,0
#切断动力开关、、,#动力可用、、、,RTL HOME activated,0
Armed by RC (switch),当前油门关闭,Start file log (type: full),0
Takeoff detected,#加转速、、、、、,#需9秒、、、、、、,0
#加转速、、、、、,#需9秒、、、、、、,# 6、、、、、、、,0
# 2、、、、、、、,# 1、、、、、、、,#抬总距、、、、、,0
# 1、、、、、、、,#抬总距、、、、、,拨杆：向前转换,0
#抬总距、、、、、,拨杆：向前转换,#向前转 目标速度19,0
拨杆：向前转换,#向前转 目标速度19,进入高度：36.9m,0
#向前转 目标速度19,进入高度：36.9m,启用爬升率控制，进入高度：36.9m,0
进入高度：36.9m,启用爬升率控制，进入高度：36.9m,转换模式，限幅固定翼roll ±35度,0
转换模式，限幅固定翼roll ±35度,#速度5米每秒、、,#速度14米每秒、、、,0
#速度5米每秒、、,#速度14米每秒、、、,Maximum distance from home reached (300.00000),0
Maximum distance from home reached (300.00000),Approaching on geofence,#速度20米每秒、、、,0
Approaching on geofence,#速度20米每秒、、、,#前飞构型、、、,0
#速度20米每秒、、、,#前飞构型、、、,Maximum distance from home reached (300.00000),0
Maximum distance from home reached (300.00000),Maximum distance from home reached (300.00000),Maximum distance from home reached (300.00000),0
RTL: descend to 79 m (60 m above destination),#向后转、、、、,进入高度：59.8m,0
#向后转、、、、,进入高度：59.8m,转换模式，限幅固定翼roll ±35度,0
进入高度：59.8m,转换模式，限幅固定翼roll ±35度,#速度18米每秒、、、,0
转换模式，限幅固定翼roll ±35度,#速度18米每秒、、、,#速度9米每秒、、、,0
#速度18米每秒、、、,#速度9米每秒、、、,#旋翼构型、、、,0
#速度9米每秒、、、,#旋翼构型、、、,RTL: land at destination,0
RTL: land at destination,Disarming denied! Not landed,#切断动力开关、,0
Disarming denied! Not landed,#切断动力开关、,Landing detected,0
"closed logfile, bytes written: 31781775",拨杆：向后转换,#动力可用、、、、,0
拨杆：向后转换,#动力可用、、、、,Armed by RC (switch),0
Start file log (type: full),当前门关闭,[logger] /fs/microsd/log/2025-03-14/10_47_01.ulg,0
"Too many arming check events (1, 14 > 14). Not reporting all",Preflight Fail: Accel Sensor 0 missing,Preflight Fail: barometer 0 missing,0
Executing Mission,Start mavlink log,Takeoff detected,0
"successfully created rt/fmu/out/battery_status data writer, topic id: 20","successfully created rt/fmu/out/collision_constraints data writer, topic id: 27","successfully created rt/fmu/out/estimator_status_flags data writer, topic id: 85",0
Opened full log file: /fs/microsd/log/2025-08-08/11_48_57.ulg,Disarmed by RC switch,"closed logfile, bytes written: 297170",0
selected parameter default file /fs/mtd_params,importing from '/fs/mtd_params',"BSON document size 1624 bytes, decoded 1624 bytes (INT32:45, FLOAT:33)",0
"BSON document size 1624 bytes, decoded 1624 bytes (INT32:45, FLOAT:33)",selected parameter backup file /fs/microsd/parameters_backup.bson,data manager file '/fs/microsd/dataman' size is 62560 bytes,0
data manager file '/fs/microsd/dataman' size is 62560 bytes,IO FW CRC match,MAVLink module starting up!,0
MAVLink module starting up!,MAVLink module is running and logging!,"mode: Normal, data rate: 30 B/s on /dev/ttyS5 @ 115200B",0
logger started (mode=all),"Node ID 1, bitrate 1000000",logging 12 topics from logger_topics.txt,0
Opened full log file: /fs/microsd/log/2025-08-08/19_27_46.ulg,"Too many arming check events (1, 14 > 14). Not reporting all",Preflight Fail: Accel Sensor 0 missing,0
Preflight Fail: ekf2 missing data,Preflight Fail: Gyro Sensor 0 missing,Preflight Fail: Compass Sensor 0 missing,0
"Node ID 1, bitrate 1000000",logging 12 topics from logger_topics.txt,Start file log (type: full),0
Preflight Fail: ekf2 missing data,"Airspeed sensor healthy, start using again (-1, 1)",Armed by external command,0
Starting CDC/ACM autostart,no broadcasting address found,RC scan: SBUS RC input locked,0
"0 (396825) EST:0 offset: [-0.020, 0.154, -0.061]->[0.004, 0.063, -0.035] (full [0.172, -0.079, 0.","0 (396825) EST:1 offset: [0.004, 0.063, -0.035]->[0.023, 0.024, -0.023] (full [0.174, -0.077, 0.0","closed logfile, bytes written: 230491",0
Preflight Fail: heading estimate not stable,Preflight Fail: Attitude failure (roll),Preflight Fail: Attitude failure (roll),0
Disarmed by RC switch,GYRO 0 (2818058) offset committed: [0.001 0.011 0.022]->[-0.003 0.009 0.007]),"0 (396825) EST:0 offset: [-0.020, 0.154, -0.061]->[0.004, 0.063, -0.035] (full [0.172, -0.079, 0.",0
GYRO 0 (2818058) offset committed: [0.001 0.011 0.022]->[-0.003 0.009 0.007]),"0 (396825) EST:0 offset: [-0.020, 0.154, -0.061]->[0.004, 0.063, -0.035] (full [0.172, -0.079, 0.","0 (396825) EST:1 offset: [0.004, 0.063, -0.035]->[0.023, 0.024, -0.023] (full [0.174, -0.077, 0.0",0
Armed by RC switch,Start file log (type: full),[logger] /fs/microsd/log/2025-08-08/11_04_15.ulg,0
Disarmed by RC switch,"0 (396825) EST:0 offset: [0.023, 0.024, -0.023]->[0.031, 0.015, -0.033] (full [0.141, -0.044, -0.","0 (396825) EST:1 offset: [0.031, 0.015, -0.033]->[0.039, 0.004, -0.043] (full [0.129, -0.049, -0.",0
"0 (396825) EST:0 offset: [0.023, 0.024, -0.023]->[0.031, 0.015, -0.033] (full [0.141, -0.044, -0.","0 (396825) EST:1 offset: [0.031, 0.015, -0.033]->[0.039, 0.004, -0.043] (full [0.129, -0.049, -0.","closed logfile, bytes written: 4508300",0
importing from '/fs/mtd_params',"BSON document size 2156 bytes, decoded 2156 bytes (INT32:45, FLOAT:61)",selected parameter backup file /fs/microsd/parameters_backup.bson,0
Opened full log file: /fs/microsd/log/2025-08-08/09_59_10.ulg,Takeoff detected,Disarmed by RC switch,0
Start file log (type: full),[logger] /fs/microsd/log/2025-08-08/10_02_57.ulg,Opened full log file: /fs/microsd/log/2025-08-08/10_02_57.ulg,0
logging 12 topics from logger_topics.txt,Start file log (type: full),[logger] /fs/microsd/log/2025-08-08/18_10_00.ulg,0
Starting CDC/ACM autostart,logger started (mode=all),"Node ID 1, bitrate 1000000",0
selected parameter backup file /fs/microsd/parameters_backup.bson,data manager file '/fs/microsd/dataman' size is 68528 bytes,IO FW CRC match,0
"closed logfile, bytes written: 213921",Armed by RC (switch),Start file log (type: full),0
Chunks allocate 10290 bytes from 50000 available,read path chunk: type 1  offset 0  time 0 ms /fs/microsd/MY.PATH,read path chunk: type 1  offset 1290  time 1 ms /fs/microsd/MY.PATH,0
"Path loaded: 429 points, load time: 403 ms",Recalculate Path fitting.,"All points are in fence (1 ms, 1 tested)",0
"MESSAGE DATA96 with data: chunk_id=0, size=84","Path data96 req: 0, 318, -2147469056, 1, 84","MESSAGE DATA96 with data: chunk_id=1, size=84",0
Fence dm locked,"Fence chunk received, vertices 3-4 of 5",Fence dm unlocked,0
"Fence chunk received, vertices 3-4 of 5",Fence dm unlocked,Dance_PX4::_updateFence(),0
Uncompressing PATH /fs/microsd/MY.PATH,data_uncompr_size: 10281,Uncompress PATH done: 0 to 10 KB in 337 ms,0
Invalid time ignored: 0,Invalid time ignored: 0,Invalid time ignored: 0,0
"MESSAGE DATA96 with data: chunk_id=4, size=38",Reallocating path buffer,Uncompressing PATH /fs/microsd/MY.PATH,0
Dance_PX4::_updateFence(),"DanceFence::_updateFence() done, 1 polys, 5 vertices",Fence:  Max dist: 30.0  Max alt: 140.0  Poly: 1  Pts: 5  CRC: 63021/64261  Hard fence: 1 (10.0 m),0
Fence:  Max dist: 30.0  Max alt: 140.0  Poly: 1  Pts: 5  CRC: 63021/64261  Hard fence: 1 (10.0 m),0)  37.551247 127.127915  37.551785 127.127235  37.551247 127.126555  37.550708 127.127235  37.551247 127.127915,"All points are in fence (2 ms, 1 tested)",0
read path chunk: type 1  offset 3030  time 2 ms /fs/microsd/MY.PATH,read path chunk: type 2  offset 0  time 6 ms /fs/microsd/MY.PATH,read path chunk: type 2  offset 9075  time 6 ms /fs/microsd/MY.PATH,0
Recalculate Path fitting.,"Path violates fence (0 ms, 1 tested)",Dance init: DONE,0
"Path violates fence (0 ms, 1 tested)",Dance init: DONE,Invalid time ignored: 0,0
Invalid time ignored: 0,GNSS Fix2 msg detected for ch 0; disabling Fix msg for this node,Time adjust by 4463 ms,0
Chunks allocate 24210 bytes from 50000 available,read path chunk: type 1  offset 0  time 2 ms /fs/microsd/MY.PATH,read path chunk: type 1  offset 3030  time 3 ms /fs/microsd/MY.PATH,0
Fence dm locked,"Fence chunk received, vertices 3-4 of 5",Fence dm unlocked,0
"Fence chunk received, vertices 3-4 of 5",Fence dm unlocked,Dance_PX4::_updateFence(),0
Path section: type 1  size 2574  chunk size: 1290,Path section: type 2  size 7707  chunk size: 3855,Chunks allocate 10290 bytes from 50000 available,0
Path section: type 2  size 7707  chunk size: 3855,Chunks allocate 10290 bytes from 50000 available,read path chunk: type 1  offset 0  time 0 ms /fs/microsd/MY.PATH,0
read path chunk: type 2  offset 3855  time 3 ms /fs/microsd/MY.PATH,"Path loaded: 429 points, load time: 411 ms",Recalculate Path fitting.,0
0)  37.552392 127.122923  37.552491 127.122405  37.552243 127.122313  37.552131 127.122835  37.552392 127.122923,">>>> path_init: path_size=321 bytes, chunk_number=4","Path data96 req: 0, 321, 0, 0, 84",0
"MESSAGE DATA96 with data: chunk_id=0, size=84","Path data96 req: 0, 321, 0, 1, 84","MESSAGE DATA96 with data: chunk_id=1, size=84",0
Uncompress PATH done: 0 to 10 KB in 346 ms,Loading path (version 3),Path CRC B8C67334  OK,0
"DanceFence::_updateFence() done, 1 polys, 5 vertices",Fence:  Max dist: 30.0  Max alt: 140.0  Poly: 1  Pts: 5  CRC: 60312/2720  Hard fence: 1 (10.0 m),0)  37.552392 127.122923  37.552491 127.122405  37.552243 127.122313  37.552131 127.122835  37.552392 127.122923,0
Fence:  Max dist: 30.0  Max alt: 140.0  Poly: 1  Pts: 5  CRC: 60312/2720  Hard fence: 1 (10.0 m),0)  37.552392 127.122923  37.552491 127.122405  37.552243 127.122313  37.552131 127.122835  37.552392 127.122923,Armed by external command,0
Start file log (type: full),[logger] /fs/microsd/log/2025-08-09/09_21_39.ulg,Opened full log file: /fs/microsd/log/2025-08-09/09_21_39.ulg,0
Opened full log file: /fs/microsd/log/2025-08-09/09_21_39.ulg,Dance start: not ready (8),Disarmed by external command,1
">>>> path_init: path_size=321 bytes, chunk_number=4","Path data96 req: 0, 321, 0, 0, 84","MESSAGE DATA96 with data: chunk_id=0, size=84",0
"MESSAGE DATA96 with data: chunk_id=3, size=69",Uncompressing PATH /fs/microsd/MY.PATH,data_uncompr_size: 10281,0
data_uncompr_size: 10281,Uncompress PATH done: 0 to 10 KB in 350 ms,Loading path (version 3),0
"Path data96 req: 0, 321, 0, 1, 84","MESSAGE DATA96 with data: chunk_id=1, size=84","Path data96 req: 0, 321, 0, 2, 84",0
Loading path (version 3),Path CRC B8C67334  OK,Path section: type 1  size 2574  chunk size: 1290,0
read path chunk: type 1  offset 0  time 1 ms /fs/microsd/MY.PATH,read path chunk: type 1  offset 1290  time 1 ms /fs/microsd/MY.PATH,read path chunk: type 2  offset 0  time 2 ms /fs/microsd/MY.PATH,0
Fence dm unlocked,Dance_PX4::_updateFence(),"DanceFence::_updateFence() done, 1 polys, 5 vertices",0
Dance_PX4::_updateFence(),"DanceFence::_updateFence() done, 1 polys, 5 vertices",Fence:  Max dist: 30.0  Max alt: 140.0  Poly: 1  Pts: 5  CRC: 60312/2720  Hard fence: 1 (10.0 m),0
Start file log (type: full),[logger] /fs/microsd/log/2025-08-09/09_06_08.ulg,Opened full log file: /fs/microsd/log/2025-08-09/09_06_08.ulg,0
Data link regained,"Fence chunk received, vertices 0-2 of 5",Fence dm locked,0
Path section: type 2  size 7707  chunk size: 3855,Chunks allocate 10290 bytes from 50000 available,read path chunk: type 1  offset 0  time 1 ms /fs/microsd/MY.PATH,0
Path section: type 2  size 7707  chunk size: 3855,Chunks allocate 10290 bytes from 50000 available,read path chunk: type 1  offset 0  time 1 ms /fs/microsd/MY.PATH,0
Preflight Fail: Gyro 0 inconsistent - check cal,Preflight Fail: heading estimate not stable,Preflight Fail: heading estimate not stable,0
Preflight Fail: heading estimate not stable,"0 (396825) EST:0 offset: [-0.024, 0.183, -0.052]->[-0.022, 0.168, -0.058] (full [0.053, -0.060, -","0 (396825) EST:1 offset: [-0.022, 0.168, -0.058]->[-0.020, 0.154, -0.061] (full [0.062, -0.062, -",0
"0 (396825) EST:0 offset: [-0.024, 0.183, -0.052]->[-0.022, 0.168, -0.058] (full [0.053, -0.060, -","0 (396825) EST:1 offset: [-0.022, 0.168, -0.058]->[-0.020, 0.154, -0.061] (full [0.062, -0.062, -","closed logfile, bytes written: 1898186",0
Preflight Fail: Strong magnetic interference,Preflight Fail: heading estimate not stable,Arming denied: high throttle,0
Arming denied: Resolve system health failures first,Armed by RC switch,Start file log (type: full),0
Already running on bus 1,IO FW CRC match,Using non-standard baudrate: 420000,0
"Node ID 1, bitrate 1000000",get: param 65535 invalid,u-blox firmware version: SPG 4.04,1
Mixer: /etc/mixers/pass.aux.mix on /dev/pwm_output1,PWM_SERVO_GET_COUNT,"mode: Normal, data rate: 1200 B/s on /dev/ttyS5 @ 1500000B",1
ACC 1 (2490378) offset committed: [0.036 0.004 -0.078]->[0.068 -0.011 -0.115]),ACC 0 (4259850) offset committed: [-0.177 0.110 0.196]->[-0.347 -0.092 0.135]),"closed logfile, bytes written: 832231",0
GYRO 1 (2490378) offset committed: [0.010 -0.043 -0.004]->[0.016 -0.057 -0.005]),"closed logfile, bytes written: 4738436",Armed by external command,0
"BSON document size 3350 bytes, decoded 3350 bytes (INT32:70, FLOAT:90)",selected parameter backup file /fs/microsd/parameters_backup.bson,Parameter MAV_2_BROADCAST not found.,0
"closed logfile, bytes written: 832231",Armed by RC,Start file log (type: full),0
